Local Authority,Code,GB cover percent,% homes with good access to nature,KtCO2e,NO2ug/m3 mean 2013
City of London,E09000001,13.311089059337997,0.0,1373.561645,53.357142857142854
Barking and Dagenham,E09000002,45.29927062818809,71.70588235294117,716.4796918,31.62857142857143
Barnet,E09000003,58.686071418455136,82.33333333333333,1477.064889,33.81575757575759
Bexley,E09000004,49.724120250548374,83.19047619047619,977.6154975,29.74069767441862
Brent,E09000005,40.96772036567503,82.0952380952381,1115.862183,36.07211538461537
Bromley,E09000006,68.73553716484385,82.45454545454545,1225.903921,28.770731707317072
Camden,E09000007,44.18826200917205,70.55555555555556,1484.4878019999999,44.84821428571426
Croydon,E09000008,55.661463358010735,70.33333333333333,1343.1136060000001,31.518831168831166
Ealing,E09000009,44.898701894383755,74.82608695652173,1451.874281,36.313559322033896
Enfield,E09000010,58.11105394249396,54.04761904761905,1286.2069279999998,31.524299065420568
Greenwich,E09000011,49.998691991206655,87.11764705882354,992.8623987999999,35.203773584905655
Hackney,E09000012,41.0273031835891,74.10526315789474,772.8989607999999,39.67522123893806
Hammersmith and Fulham,E09000013,32.22362342774619,64.125,916.7332538999999,42.166265060240974
Haringey,E09000014,44.33667894689024,82.21052631578948,828.5065392000001,36.81923076923078
Harrow,E09000015,55.89199870475865,61.42857142857143,793.1178682999999,30.37662337662337
Havering,E09000016,69.49121824654752,58.94444444444444,1051.895422,26.560439560439562
Hillingdon,E09000017,57.85599194116029,84.45454545454545,2366.563002,29.33508771929825
Hounslow,E09000018,50.46249136814339,77.25,1414.216555,35.39777777777778
Islington,E09000019,35.141760208378464,67.5625,982.7932374,43.3051948051948
Kensington and Chelsea,E09000020,32.67477868733602,90.44444444444444,1266.753612,46.4711111111111
Kingston upon Thames,E09000021,53.47912192823669,67.875,670.5178635999999,32.927272727272744
Lambeth,E09000022,34.53608596443543,63.333333333333336,1139.925459,41.28018867924526
Lewisham,E09000023,41.05373746184992,86.16666666666667,848.155095,36.52871287128713
Merton,E09000024,49.62937649576842,86.45,791.5395336,34.44594594594593
Newham,E09000025,40.10389797279082,60.6,1374.951027,36.65701754385965
Redbridge,E09000026,54.976660054599535,82.0,910.0433955,32.33333333333333
Richmond upon Thames,E09000027,67.23181879647161,88.77777777777777,834.7252789,33.81084337349398
Southwark,E09000028,41.89396120030326,70.42857142857143,1318.2632310000001,41.87822580645162
Sutton,E09000029,50.94107075434165,70.5,699.5032464,31.391780821917813
Tower Hamlets,E09000030,37.13381644112672,64.94117647058823,1789.54759,42.91507936507936
Waltham Forest,E09000031,50.59386321103144,57.7,827.5501508,33.77802197802197
Wandsworth,E09000032,42.20553297632,90.55,1072.7977759999999,38.35123966942148
Westminster,E09000033,35.60871186257935,73.15,2854.747754,49.31313131313132
